Provinces Name,Provinces Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Bengkulu Tengah, Kab.",ID.BE.BT,Total Population (in number of people),SP.POP.TOTL,106017,107791,109593,111318,113147,114695,116432
"Bengkulu Tengah, Kab.",ID.BE.BT,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bengkulu Tengah, Kab.",ID.BE.BT,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bengkulu Tengah, Kab.",ID.BE.BT,Poverty Rate (in % of population),SI.POV.NAPR.ZS,8.22,8.33,8.71,8.41,8.2,8.8,9.3
"Bengkulu Utara, Kab.",ID.BE.BU,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bengkulu Utara, Kab.",ID.BE.BU,Total Population (in number of people),SP.POP.TOTL,281699,287439,293099,298757,304386,310003,315494
"Bengkulu Utara, Kab.",ID.BE.BU,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bengkulu Utara, Kab.",ID.BE.BU,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bengkulu Utara, Kab.",ID.BE.BU,Poverty Rate (in % of population),SI.POV.NAPR.ZS,13.95,14.78,13.67,13.11,11.81,11.65,11.67
"Bengkulu, Kota",ID.BE.BE,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bengkulu, Kota",ID.BE.BE,Total Population (in number of people),SP.POP.TOTL,342876,351298,359488,368065,376480,385137,393648
"Bengkulu, Kota",ID.BE.BE,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bengkulu, Kota",ID.BE.BE,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bengkulu, Kota",ID.BE.BE,Poverty Rate (in % of population),SI.POV.NAPR.ZS,20.16,21.14,20.72,19.18,18.82,18.09,17.65
"Kaur, Kab.",ID.BE.KA,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Kaur, Kab.",ID.BE.KA,Total Population (in number of people),SP.POP.TOTL,114398,115805,117269,118586,119951,121211,122500
"Kaur, Kab.",ID.BE.KA,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Kaur, Kab.",ID.BE.KA,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Kaur, Kab.",ID.BE.KA,Poverty Rate (in % of population),SI.POV.NAPR.ZS,21.96,22.87,22.36,21.54,19.4,18.89,18.47
"Kepahiang, Kab.",ID.BE.KE,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Kepahiang, Kab.",ID.BE.KE,Total Population (in number of people),SP.POP.TOTL,131016,132415,133703,134938,136097,137191,138184
"Kepahiang, Kab.",ID.BE.KE,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Kepahiang, Kab.",ID.BE.KE,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Kepahiang, Kab.",ID.BE.KE,Poverty Rate (in % of population),SI.POV.NAPR.ZS,15.65,16.83,16.31,15.95,14.42,14.74,14.69
"Lebong, Kab.",ID.BE.LE,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Lebong, Kab.",ID.BE.LE,Total Population (in number of people),SP.POP.TOTL,107296,109190,111063,113042,114789,116610,118399
"Lebong, Kab.",ID.BE.LE,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Lebong, Kab.",ID.BE.LE,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Lebong, Kab.",ID.BE.LE,Poverty Rate (in % of population),SI.POV.NAPR.ZS,12.44,12.32,12.26,11.83,11.59,11.77,11.85
"Mukomuko, Kab.",ID.BE.MU,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Mukomuko, Kab.",ID.BE.MU,Total Population (in number of people),SP.POP.TOTL,172882,177131,181343,185499,189668,193881,198123
"Mukomuko, Kab.",ID.BE.MU,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Mukomuko, Kab.",ID.BE.MU,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Mukomuko, Kab.",ID.BE.MU,Poverty Rate (in % of population),SI.POV.NAPR.ZS,12.48,13.45,13.01,12.2,11.4,11.7,11.72
"Rejang Lebong, Kab.",ID.BE.RL,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Rejang Lebong, Kab.",ID.BE.RL,Total Population (in number of people),SP.POP.TOTL,254583,256094,257498,258763,259945,260899,261802
"Rejang Lebong, Kab.",ID.BE.RL,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Rejang Lebong, Kab.",ID.BE.RL,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Rejang Lebong, Kab.",ID.BE.RL,Poverty Rate (in % of population),SI.POV.NAPR.ZS,17.99,18.03,17.81,16.97,16.23,15.95,15.85
