date,cpi,year,month,year_month,inflation_mom,inflation_yoy
2018-01-01,109.6979,2018,1,2018-01,0.6246737891097531,3.2515932769407563
2018-02-01,109.8806,2018,2,2018-02,0.16654831131679426,3.1815386060051187
2018-03-01,110.0965,2018,3,2018-03,0.19648600389878812,3.400393891951148
2018-04-01,110.2044,2018,4,2018-04,0.09800493203688809,3.413057676283149
2018-05-01,110.4369,2018,5,2018-05,0.21097161274865606,3.2290358040200973
2018-06-01,111.0847,2018,6,2018-06,0.5865793045621626,3.1221251096577696
2018-07-01,111.3919,2018,7,2018-07,0.2765457349211964,3.1845971432276743
2018-08-01,111.3338,2018,8,2018-08,-0.05215819103544517,3.2021898547728744
2018-09-01,111.1345,2018,9,2018-09,-0.179011225701442,2.882881381664948
2018-10-01,111.4417,2018,10,2018-10,0.27642181320830517,3.1593456183403035
2018-11-01,111.7407,2018,11,2018-11,0.2683017218868766,3.2298146974537367
2018-12-01,112.4299,2018,12,2018-12,0.6167851105282063,3.130707257315146
2019-01-01,112.7953,2019,1,2019-01,0.32500251267677527,2.823572739314062
2019-02-01,112.704,2019,2,2019-02,-0.08094308894076585,2.5695163659463116
2019-03-01,112.8285,2019,3,2019-03,0.11046635434412977,2.4814594469397377
2019-04-01,113.3268,2019,4,2019-04,0.4416437336311363,2.833280703855734
2019-05-01,114.0991,2019,5,2019-05,0.6814804618148651,3.316101773954183
2019-06-01,114.7302,2019,6,2019-06,0.5531156687476058,3.2817300672369765
2019-07-01,115.0873,2019,7,2019-07,0.31125196330172855,3.317476405375963
2019-08-01,115.2201,2019,8,2019-08,0.11539066430441558,3.4906739911868767
2019-09-01,114.9046,2019,9,2019-09,-0.27382375123784497,3.392375904872025
2019-10-01,114.9295,2019,10,2019-10,0.02167015071634637,3.1297081792542647
2019-11-01,115.0956,2019,11,2019-11,0.14452338172532553,3.002397514960986
2019-12-01,115.4859,2019,12,2019-12,0.3391094012281881,2.7181381465250842
2020-01-01,115.818,2020,1,2020-01,0.2875675731842664,2.6798102403202906
2020-02-01,116.14,2020,2,2020-02,0.27802241447789644,3.0486939239068755
2020-03-01,116.251,2020,3,2020-03,0.09557430687101576,3.033364797014948
2020-04-01,116.3398,2020,4,2020-04,0.07638643968652659,2.6586826770013783
2020-05-01,116.4175,2020,5,2020-05,0.06678711842380558,2.031917867888522
2020-06-01,116.6284,2020,6,2020-06,0.18115833100693646,1.6544902737030132
2020-07-01,116.5063,2020,7,2020-07,-0.1046914816631328,1.232977053071882
2020-08-01,116.4508,2020,8,2020-08,-0.04763690890534633,1.068129605858692
2020-09-01,116.3953,2020,9,2020-09,-0.047659612471528945,1.297337095294715
2020-10-01,116.473,2020,10,2020-10,0.06675527276445159,1.342997228735876
2020-11-01,116.7949,2020,11,2020-11,0.27637306500218894,1.4764248155446413
2020-12-01,117.3167,2020,12,2020-12,0.4467660831080744,1.5853017554523952
2021-01-01,117.6164,2021,1,2021-01,0.25546235105489146,1.5527810875684223
2021-02-01,117.7385,2021,2,2021-02,0.1038120534211151,1.3763561219218179
2021-03-01,117.8384,2021,3,2021-03,0.08484905107504215,1.3654936301623177
2021-04-01,117.9939,2021,4,2021-04,0.13196037963856266,1.4217834309496746
2021-05-01,118.3713,2021,5,2021-05,0.3198470429403688,1.6782700195417277
2021-06-01,118.1826,2021,6,2021-06,-0.1594136416513181,1.3326085241673447
2021-07-01,118.2714,2021,7,2021-07,0.07513796447193855,1.5150253677268966
2021-08-01,118.3047,2021,8,2021-08,0.028155581146416253,1.5920028029004385
2021-09-01,118.2603,2021,9,2021-09,-0.037530208013714095,1.602298374590716
2021-10-01,118.4046,2021,10,2021-10,0.12201897001784534,1.658410103629171
2021-11-01,118.8375,2021,11,2021-11,0.36561079552652753,1.7488777335311845
2021-12-01,119.5147,2021,12,2021-12,0.5698537919427871,1.8735610531152025
2022-01-01,120.1808,2022,1,2022-01,0.5573372982570435,2.180308188313873
2022-02-01,120.1586,2022,2,2022-02,-0.018472168599303895,2.055487372439768
2022-03-01,120.9467,2022,3,2022-03,0.6558831411151544,2.63776493910306
2022-04-01,122.0902,2022,4,2022-04,0.9454577925648078,3.4716201430751825
2022-05-01,122.5786,2022,5,2022-05,0.40003210740910955,3.5543244012695485
2022-06-01,123.3224,2022,6,2022-06,0.606794334410754,4.349032767937078
2022-07-01,124.1106,2022,7,2022-07,0.6391377397780174,4.937119202106355
2022-08-01,123.8552,2022,8,2022-08,-0.20578419570931317,4.691698639191855
2022-09-01,125.2984,2022,9,2022-09,1.1652316576130861,5.95136322163905
2022-10-01,125.1652,2022,10,2022-10,-0.10630622577783022,5.709744384930993
2022-11-01,125.2762,2022,11,2022-11,0.0886827968157311,5.418070895129912
2022-12-01,126.0977,2022,12,2022-12,0.6557510524744625,5.50810904432677
2023-01-01,126.5306,2023,1,2023-01,0.34330523078534014,5.283539467202747
2023-02-01,126.7304,2023,2,2023-02,0.15790646689417542,5.469271446238544
2023-03-01,126.9525,2023,3,2023-03,0.1752539248672802,4.965658426397734
2023-04-01,127.3743,2023,4,2023-04,0.33225025107816997,4.32802960434171
2023-05-01,127.4853,2023,5,2023-05,0.08714473798874245,4.002900995769254
2023-06-01,127.6629,2023,6,2023-06,0.1393101792912521,3.519636335329168
2023-07-01,127.9294,2023,7,2023-07,0.20875289532040764,3.0769329936363166
2023-08-01,127.9072,2023,8,2023-08,-0.017353321441360148,3.271562275948048
2023-09-01,128.1514,2023,9,2023-09,0.19091966675839345,2.2769644305114856
2023-10-01,128.3734,2023,10,2023-10,0.17323259831731885,2.5631725112091885
2023-11-01,128.8618,2023,11,2023-11,0.38045264829005276,2.8621557805871944
2023-12-01,129.3947,2023,12,2023-12,0.4135438120529189,2.614639283666542
2024-01-01,129.4502,2024,1,2024-01,0.04289201953402433,2.307426029750892
2024-02-01,129.9302,2024,2,2024-02,0.370798963616914,2.5248874776691466
2024-03-01,130.607,2024,3,2024-03,0.520895065196525,2.8786357102065674
2024-04-01,130.9393,2024,4,2024-04,0.25442740435046574,2.798837756125061
2024-05-01,130.9024,2024,5,2024-05,-0.028180996843574224,2.6803874642802095
2024-06-01,130.7916,2024,6,2024-06,-0.08464321509766837,2.4507511579323404
2024-07-01,130.5578,2024,7,2024-07,-0.17875765721957482,2.054570724165039
2024-08-01,130.5209,2024,8,2024-08,-0.028263343898238258,2.0434346150959515
2024-09-01,130.3609,2024,9,2024-09,-0.12258573148057339,1.7241325494688153
2024-10-01,130.4593,2024,10,2024-10,0.0754827559490856,1.62486932651158
2024-11-01,130.8531,2024,11,2024-11,0.3018565943554874,1.5452989171345077
2024-12-01,131.4315,2024,12,2024-12,0.44202238999304644,1.574098475439878
