"event_id_cnty","NAME_2","TYPE_2","district"
"IDN17968","Wonosobo","Kabupaten","Wonosobo, Kab."
"IDN17970","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN17975","Pangkalpinang","Kota","Pangkalpinang, Kota"
"IDN18045","Nagan Raya","Kabupaten","Nagan Raya, Kab."
"IDN18047","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN18067","Lampung Timur","Kabupaten","Lampung Timur, Kab."
"IDN18068","Kota Medan","Kota","Medan, Kota"
"IDN17969","Kota Sorong","Kota","Sorong, Kota"
"IDN18024","Mimika","Kabupaten","Mimika, Kab."
"IDN18143","Mimika","Kabupaten","Mimika, Kab."
"IDN19289","Gowa","Kabupaten","Gowa, Kab."
"IDN18066","Jambi","Kota","Jambi, Kota"
"IDN18015","Lampung Selatan","Kabupaten","Lampung Selatan, Kab."
"IDN18046","Denpasar","Kota","Denpasar, Kota"
"IDN18013","Aceh Tengah","Kabupaten","Aceh Tengah, Kab."
"IDN18044","Kota Kediri","Kota","Kediri, Kota"
"IDN18142","Deiyai","Kabupaten","Deiyai, Kab."
"IDN17962","Samarinda","Kota","Samarinda, Kota"
"IDN17977","Sinjai","Kabupaten","Sinjai, Kab."
"IDN17978","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN17980","Padangsidimpuan","Kota","Padangsidimpuan, Kota"
"IDN17987","Bulungan","NA","Bulungan, Kab."
"IDN17979","Sukoharjo","Kabupaten","Sukoharjo, Kab."
"IDN17959","Mimika","Kabupaten","Mimika, Kab."
"IDN17982","Lebak","Kabupaten","Lebak, Kab."
"IDN17986","Kota Cirebon","Kota","Cirebon, Kota"
"IDN17976","Surakarta","Kota","Surakarta, Kota"
"IDN17961","Banjarmasin","Kota","Banjarmasin, Kota"
"IDN17963","Kutai Kartanegara","Kabupaten","Kutai Kartanegara, Kab."
"IDN17964","Kota Bandung","Kota","Bandung, Kota"
"IDN17965","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN17988","Gresik","Kabupaten","Gresik, Kab."
"IDN17989","Kudus","Kabupaten","Kudus, Kab."
"IDN17966","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18302","Pangkalpinang","Kota","Pangkalpinang, Kota"
"IDN18128","Kota Bandung","Kota","Bandung, Kota"
"IDN17960","Purbalingga","Kabupaten","Purbalingga, Kab."
"IDN17981","Tangerang Selatan","Kota","Tangerang Selatan, Kota"
"IDN17993","Banda Aceh","Kota","Banda Aceh, Kota"
"IDN17967","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN17991","Bangka Selatan","Kabupaten","Bangka Selatan, Kab."
"IDN17992","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN17983","Kota Jayapura","Kota","Jayapura, Kota"
"IDN17984","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18138","Kota Sorong","Kota","Sorong, Kota"
"IDN18141","Dogiyai","Kabupaten","Dogiyai, Kab."
"IDN17990","Indramayu","Kabupaten","Indramayu, Kab."
"IDN18158","Cianjur","Kabupaten","Cianjur, Kab."
"IDN18148","Pidie","Kabupaten","Pidie, Kab."
"IDN18161","Batam","Kota","Batam, Kota"
"IDN18163","Kutai Timur","Kabupaten","Kutai Timur, Kab."
"IDN18125","Surabaya","Kota","Surabaya, Kota"
"IDN18130","Kota Baru","Kabupaten","Kota Baru, Kab."
"IDN18131","Mamuju","Kabupaten","Mamuju, Kab."
"IDN18134","Pangkalpinang","Kota","Pangkalpinang, Kota"
"IDN18135","Palembang","Kota","Palembang, Kota"
"IDN18136","Bandar Lampung","Kota","Bandar Lampung, Kota"
"IDN18150","Mamuju","Kabupaten","Mamuju, Kab."
"IDN18152","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18162","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN18167","Ambon","Kota","Ambon, Kota"
"IDN18172","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18174","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18165","Kotawaringin Barat","Kabupaten","Kotawaringin Barat, Kab."
"IDN18171","Batu Bara","Kabupaten","Batu Bara, Kab."
"IDN18154","Kota Tasikmalaya","Kota","Tasikmalaya, Kota"
"IDN18160","Gowa","Kabupaten","Gowa, Kab."
"IDN18129","Kota Semarang","Kota","Semarang, Kota"
"IDN18170","Pasuruan","Kabupaten","Pasuruan, Kab."
"IDN18127","Pati","Kabupaten","Pati, Kab."
"IDN18132","Klaten","Kabupaten","Klaten, Kab."
"IDN18149","Kota Tanjungbalai","Kota","Tanjungbalai, Kota"
"IDN18137","Kota Kediri","Kota","Kediri, Kota"
"IDN18164","Kota Kediri","Kota","Kediri, Kota"
"IDN18082","Surabaya","Kota","Surabaya, Kota"
"IDN18133","Mamuju","Kabupaten","Mamuju, Kab."
"IDN18151","Kota Serang","Kota","Serang, Kota"
"IDN18166","Bulungan","NA","Bulungan, Kab."
"IDN18155","Kota Tasikmalaya","Kota","Tasikmalaya, Kota"
"IDN18156","Kota Tasikmalaya","Kota","Tasikmalaya, Kota"
"IDN18084","Buton","Kabupaten","Buton, Kab."
"IDN18103","Kota Tasikmalaya","Kota","Tasikmalaya, Kota"
"IDN18081","Kaimana","Kabupaten","Kaimana, Kab."
"IDN18232","Kota Sorong","Kota","Sorong, Kota"
"IDN18123","Palu","Kota","Palu, Kota"
"IDN18088","Boalemo","Kabupaten","Boalemo, Kab."
"IDN18099","Cilegon","Kota","Cilegon, Kota"
"IDN18101","Mamuju","Kabupaten","Mamuju, Kab."
"IDN18102","Asahan","Kabupaten","Asahan, Kab."
"IDN18111","Kota Medan","Kota","Medan, Kota"
"IDN18119","Mamuju","Kabupaten","Mamuju, Kab."
"IDN18120","Padang","Kota","Padang, Kota"
"IDN18124","Pemalang","Kabupaten","Pemalang, Kab."
"IDN18090","Sintang","Kabupaten","Sintang, Kab."
"IDN18104","Kota Tasikmalaya","Kota","Tasikmalaya, Kota"
"IDN18391","Muaro Jambi","Kabupaten","Muaro Jambi, Kab."
"IDN18108","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18109","Kota Jayapura","Kota","Jayapura, Kota"
"IDN18110","Mimika","Kabupaten","Mimika, Kab."
"IDN18105","Boalemo","Kabupaten","Boalemo, Kab."
"IDN18106","Pinrang","Kabupaten","Pinrang, Kab."
"IDN18115","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN18116","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18118","Kebumen","Kabupaten","Kebumen, Kab."
"IDN18121","Palembang","Kota","Palembang, Kota"
"IDN18093","Kota Tasikmalaya","Kota","Tasikmalaya, Kota"
"IDN18098","Muaro Jambi","Kabupaten","Muaro Jambi, Kab."
"IDN18091","Kota Sorong","Kota","Sorong, Kota"
"IDN18107","Kota Jayapura","Kota","Jayapura, Kota"
"IDN18078","Serang","Kabupaten","Serang, Kab."
"IDN18086","Kota Tanjungbalai","Kota","Tanjungbalai, Kota"
"IDN18100","Mataram","Kota","Mataram, Kota"
"IDN18080","Gowa","Kabupaten","Gowa, Kab."
"IDN18114","Brebes","Kabupaten","Brebes, Kab."
"IDN18083","Makassar","Kota","Makassar, Kota"
"IDN18097","Banjarmasin","Kota","Banjarmasin, Kota"
"IDN18112","Banjar Baru","Kota","Banjar Baru, Kota"
"IDN18117","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN18122","Palembang","Kota","Palembang, Kota"
"IDN18126","Bangka Selatan","Kabupaten","Bangka Selatan, Kab."
"IDN18092","Bone Bolango","Kabupaten","Bone Bolango, Kab."
"IDN18077","Bogor","Kabupaten","Bogor, Kab."
"IDN18208","Jakarta Barat","Kota","Jakarta Barat, Kota"
"IDN18228","Samarinda","Kota","Samarinda, Kota"
"IDN18645","Sleman","Kabupaten","Sleman, Kab."
"IDN18094","Kota Sorong","Kota","Sorong, Kota"
"IDN18191","Kota Bogor","Kota","Bogor, Kota"
"IDN18113","Kota Bekasi","Kota","Bekasi, Kota"
"IDN18187","Batam","Kota","Batam, Kota"
"IDN18189","Bengkulu","Kota","Bengkulu, Kota"
"IDN18210","Kota Jayapura","Kota","Jayapura, Kota"
"IDN18233","Kota Sorong","Kota","Sorong, Kota"
"IDN18227","Labuhanbatu","Kabupaten","Labuhanbatu, Kab."
"IDN18225","Kepulauan Aru","Kabupaten","Kepulauan Aru, Kab."
"IDN18182","Bandar Lampung","Kota","Bandar Lampung, Kota"
"IDN18184","Banjarmasin","Kota","Banjarmasin, Kota"
"IDN18188","Batam","Kota","Batam, Kota"
"IDN18196","Ketapang","Kabupaten","Ketapang, Kab."
"IDN18200","Gresik","Kabupaten","Gresik, Kab."
"IDN18203","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18212","Karanganyar","Kabupaten","Karanganyar, Kab."
"IDN18221","Mamuju Utara","Kabupaten","Mamuju Utara, Kab."
"IDN18238","Lampung Timur","Kabupaten","Lampung Timur, Kab."
"IDN18243","Konawe Selatan","Kabupaten","Konawe Selatan, Kab."
"IDN18244","Empat Lawang","Kabupaten","Empat Lawang, Kab."
"IDN18245","Ternate","Kota","Ternate, Kota"
"IDN18246","Konawe","Kabupaten","Konawe, Kab."
"IDN18235","Kota Sorong","Kota","Sorong, Kota"
"IDN18198","Fakfak","Kabupaten","Fakfak, Kab."
"IDN18231","Situbondo","Kabupaten","Situbondo, Kab."
"IDN18229","Ciamis","Kabupaten","Ciamis, Kab."
"IDN18185","Banjarmasin","Kota","Banjarmasin, Kota"
"IDN18201","Bone Bolango","Kabupaten","Bone Bolango, Kab."
"IDN18215","Kotamobagu","Kota","Kotamobagu, Kota"
"IDN18219","Sinjai","Kabupaten","Sinjai, Kab."
"IDN18204","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18190","Kota Blitar","Kota","Blitar, Kota"
"IDN18195","Yahukimo","Kabupaten","Yahukimo, Kab."
"IDN18192","Bukittinggi","Kota","Bukittinggi, Kota"
"IDN18209","Jambi","Kota","Jambi, Kota"
"IDN18183","Jombang","Kabupaten","Jombang, Kab."
"IDN18194","Ciamis","Kabupaten","Ciamis, Kab."
"IDN18205","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18206","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18222","Pekanbaru","Kota","Pekanbaru, Kota"
"IDN18226","Bulungan","NA","Bulungan, Kab."
"IDN18230","Sintang","Kabupaten","Sintang, Kab."
"IDN18241","Kebumen","Kabupaten","Kebumen, Kab."
"IDN18248","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN18211","Kota Jayapura","Kota","Jayapura, Kota"
"IDN18220","Palopo","Kota","Palopo, Kota"
"IDN18193","Kota Cirebon","Kota","Cirebon, Kota"
"IDN18216","Deli Serdang","Kabupaten","Deli Serdang, Kab."
"IDN18199","Asahan","Kabupaten","Asahan, Kab."
"IDN18207","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN18218","Kota Medan","Kota","Medan, Kota"
"IDN18223","Pekanbaru","Kota","Pekanbaru, Kota"
"IDN18224","Kota Pontianak","Kota","Pontianak, Kota"
"IDN18247","Halmahera Tengah","Kabupaten","Halmahera Tengah, Kab."
"IDN18249","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN18285","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
