"acled_name","pop_name","method"
"South Hulu Sungai","Hulu Sungai Selatan","directional"
"South Jakarta","Jakarta Selatan","directional"
"South Konawe","Konawe Selatan","directional"
"South Lampung","Lampung Selatan","directional"
"South Manokwari","Manokwari Selatan","directional"
"South Minahasa","Minahasa Selatan","directional"
"South Nias","Nias Selatan","directional"
"South Ogan Komering Ulu","Ogan Komering Ulu Selatan","directional"
"South Pesisir","Pesisir Selatan","directional"
"South Solok","Solok Selatan","directional"
"South Sorong","Sorong Selatan","directional"
"South Tangerang","Tangerang Selatan","directional"
"South Tapanuli","Tapanuli Selatan","directional"
"Southeast Aceh","Aceh Tenggara","directional"
"Southeast Minahasa","Minahasa Tenggara","directional"
"Southwest Aceh","Aceh Barat Daya","directional"
"Southwest Maluku","Maluku Barat Daya","directional"
"Southwest Sumba","Sumba Barat Daya","directional"
"Sragen","Sragen","exact"
"Subang","Subang","exact"
"Subulussalam","Subulussalam","exact"
"Sukabumi","Sukabumi","exact"
"Sukoharjo","Sukoharjo","exact"
"Sula Islands","Kepulauan Sula","islands"
"Sumbawa","Sumbawa","exact"
"Sumedang","Sumedang","exact"
"Sumenep","Sumenep","exact"
"Sungai Penuh","Sungai Penuh","exact"
"Surabaya","Surabaya","exact"
"Surakarta","Surakarta","exact"
"Tabalong","Tabalong","exact"
"Tabanan","Tabanan","exact"
"Takalar","Takalar","exact"
"Talaud Islands","Kepulauan Talaud","islands"
"Tambrauw","Tambrauw","exact"
"Tana Tidung","Tana Tidung","exact"
"Tana Toraja","Tana Toraja","exact"
"Tanah Bumbu","Tanah Bumbu","exact"
"Tanah Datar","Tanah Datar","exact"
"Tanah Laut","Tanah Laut","exact"
"Tangerang","Tangerang","exact"
"Tanggamus","Tanggamus","exact"
"Tanjung Balai","Tanjung Balai","exact"
"Tanjung Pinang","Tanjung Pinang","exact"
"Tapin","Tapin","exact"
"Tarakan","Tarakan","exact"
"Tasikmalaya","Tasikmalaya","exact"
"Tebing Tinggi","Tebing Tinggi","exact"
"Tebo","Tebo","exact"
"Tegal","Tegal","exact"
"Teluk Bintuni","Teluk Bintuni","exact"
"Teluk Wondama","Teluk Wondama","exact"
"Temanggung","Temanggung","exact"
"Ternate","Ternate","exact"
"Thousand Islands","Adm. Kepulauan Seribu","special"
"Tidore Kepulauan","Kepulauan Tidore","special"
"Toba Samosir","Toba Samosir","exact"
"Tojo Una-Una","Tojo Una-Una","exact"
"Toli-Toli","Toli-Toli","exact"
"Tolikara","Tolikara","exact"
"Tomohon","Tomohon","exact"
"Trenggalek","Trenggalek","exact"
"Tuban","Tuban","exact"
"Tulang Bawang","Tulang Bawang","exact"
"Tulungagung","Tulungagung","exact"
"Wajo","Wajo","exact"
"Wakatobi","Wakatobi","exact"
"Waropen","Waropen","exact"
"Way Kanan","Way Kanan","exact"
"West Aceh","Aceh Barat","directional"
"West Bandung","Bandung Barat","directional"
"West Bangka","Bangka Barat","directional"
"West Halmahera","Halmahera Barat","directional"
"West Jakarta","Jakarta Barat","directional"
"West Kotawaringin","Kotawaringin Barat","directional"
"West Kutai","Kutai Barat","directional"
"West Lampung","Lampung Barat","directional"
"West Lombok","Lombok Barat","directional"
"West Manggarai","Manggarai Barat","directional"
"West Muna","Muna Barat","directional"
"West Pasaman","Pasaman Barat","directional"
"West Pesisir","Pesisir Barat","directional"
"West Seram Bagian","Seram Bagian Barat","directional"
"West Sumba","Sumba Barat","directional"
"West Sumbawa","Sumbawa Barat","directional"
"West Tanjung Jabung","Tanjung Jabung Barat","directional"
"West Tulang Bawang","Tulang Bawang Barat","directional"
"Wonogiri","Wonogiri","exact"
"Wonosobo","Wonosobo","exact"
"Yahukimo","Yahukimo","exact"
"Yalimo","Yalimo","exact"
"Yapen Islands","Kepulauan Yapen","islands"
"Yogyakarta","Yogyakarta","exact"
