"district","year","poverty_rate","extrapolated"
"Bandung Barat, Kab.",2016,11.71,FALSE
"Bandung Barat, Kab.",2017,11.49,FALSE
"Bandung Barat, Kab.",2018,10.06,FALSE
"Bandung Barat, Kab.",2019,9.38,FALSE
"Bandung Barat, Kab.",2020,10.49,FALSE
"Bandung Barat, Kab.",2021,10.705,TRUE
"Bandung Barat, Kab.",2022,10.92,TRUE
"Bandung Barat, Kab.",2023,11.135,TRUE
"Bandung Barat, Kab.",2024,11.35,TRUE
"Bandung, Kab.",2015,8,FALSE
"Bandung, Kab.",2016,7.61,FALSE
"Bandung, Kab.",2017,7.36,FALSE
"Bandung, Kab.",2018,6.65,FALSE
"Bandung, Kab.",2019,5.94,FALSE
"Bandung, Kab.",2020,6.91,FALSE
"Bandung, Kab.",2021,7.04,TRUE
"Bandung, Kab.",2022,7.17,TRUE
"Bandung, Kab.",2023,7.3,TRUE
"Bandung, Kab.",2024,7.43,TRUE
"Bandung, Kota",2015,4.61,FALSE
"Bandung, Kota",2016,4.32,FALSE
"Bandung, Kota",2017,4.17,FALSE
"Bandung, Kota",2018,3.57,FALSE
"Bandung, Kota",2019,3.38,FALSE
"Bandung, Kota",2020,3.99,FALSE
"Bandung, Kota",2021,4.2,TRUE
"Bandung, Kota",2022,4.41,TRUE
"Bandung, Kota",2023,4.62,TRUE
"Bandung, Kota",2024,4.83,TRUE
"Banggai Kepulauan, Kab.",2015,16.08,FALSE
"Banggai Kepulauan, Kab.",2016,16.18,FALSE
"Banggai Kepulauan, Kab.",2017,15.92,FALSE
"Banggai Kepulauan, Kab.",2018,15.65,FALSE
"Banggai Kepulauan, Kab.",2019,14.84,FALSE
"Banggai Kepulauan, Kab.",2020,14.04,FALSE
"Banggai Kepulauan, Kab.",2021,13.235,TRUE
"Banggai Kepulauan, Kab.",2022,12.43,TRUE
"Banggai Kepulauan, Kab.",2023,11.625,TRUE
"Banggai Kepulauan, Kab.",2024,10.82,TRUE
"Banggai Laut, Kab.",2015,17.68,FALSE
"Banggai Laut, Kab.",2016,16.6,FALSE
"Banggai Laut, Kab.",2017,16.17,FALSE
"Banggai Laut, Kab.",2018,16.32,FALSE
"Banggai Laut, Kab.",2019,15.34,FALSE
"Banggai Laut, Kab.",2020,14.6,FALSE
"Banggai Laut, Kab.",2021,13.74,TRUE
"Banggai Laut, Kab.",2022,12.88,TRUE
"Banggai Laut, Kab.",2023,12.02,TRUE
"Banggai Laut, Kab.",2024,11.16,TRUE
"Banggai, Kab.",2015,9.84,FALSE
"Banggai, Kab.",2016,9.47,FALSE
"Banggai, Kab.",2017,9.2,FALSE
"Banggai, Kab.",2018,9.12,FALSE
"Banggai, Kab.",2019,7.8,FALSE
"Banggai, Kab.",2020,7.39,FALSE
"Banggai, Kab.",2021,6.525,TRUE
"Banggai, Kab.",2022,5.66,TRUE
"Banggai, Kab.",2023,4.795,TRUE
"Banggai, Kab.",2024,3.93,TRUE
"Bangka Barat, Kab.",2015,3.08,FALSE
"Bangka Barat, Kab.",2016,2.74,FALSE
"Bangka Barat, Kab.",2017,2.98,FALSE
"Bangka Barat, Kab.",2018,3.05,FALSE
"Bangka Barat, Kab.",2019,2.67,FALSE
"Bangka Barat, Kab.",2020,2.7,FALSE
"Bangka Barat, Kab.",2021,2.525,TRUE
"Bangka Barat, Kab.",2022,2.35,TRUE
"Bangka Barat, Kab.",2023,2.175,TRUE
"Bangka Barat, Kab.",2024,2,TRUE
"Bangka Selatan, Kab.",2015,3.74,FALSE
"Bangka Selatan, Kab.",2016,3.62,FALSE
"Bangka Selatan, Kab.",2017,3.92,FALSE
"Bangka Selatan, Kab.",2018,3.7,FALSE
"Bangka Selatan, Kab.",2019,3.36,FALSE
"Bangka Selatan, Kab.",2020,3.52,FALSE
"Bangka Selatan, Kab.",2021,3.43,TRUE
"Bangka Selatan, Kab.",2022,3.34,TRUE
"Bangka Selatan, Kab.",2023,3.25,TRUE
"Bangka Selatan, Kab.",2024,3.16,TRUE
"Bangka Tengah, Kab.",2015,5.67,FALSE
"Bangka Tengah, Kab.",2016,5.64,FALSE
"Bangka Tengah, Kab.",2017,6.07,FALSE
"Bangka Tengah, Kab.",2018,5.81,FALSE
"Bangka Tengah, Kab.",2019,5.02,FALSE
"Bangka Tengah, Kab.",2020,4.85,FALSE
"Bangka Tengah, Kab.",2021,4.37,TRUE
"Bangka Tengah, Kab.",2022,3.89,TRUE
"Bangka Tengah, Kab.",2023,3.41,TRUE
"Bangka Tengah, Kab.",2024,2.93,TRUE
"Bangka, Kab.",2015,5.63,FALSE
"Bangka, Kab.",2016,5.52,FALSE
"Bangka, Kab.",2017,5.1,FALSE
"Bangka, Kab.",2018,5.47,FALSE
"Bangka, Kab.",2019,4.92,FALSE
"Bangka, Kab.",2020,4.51,FALSE
"Bangka, Kab.",2021,4.03,TRUE
"Bangka, Kab.",2022,3.55,TRUE
"Bangka, Kab.",2023,3.07,TRUE
"Bangka, Kab.",2024,2.59,TRUE
"Bangkalan, Kab.",2015,22.57,FALSE
"Bangkalan, Kab.",2016,21.41,FALSE
"Bangkalan, Kab.",2017,21.32,FALSE
"Bangkalan, Kab.",2018,19.59,FALSE
"Bangkalan, Kab.",2019,18.9,FALSE
"Bangkalan, Kab.",2020,20.56,FALSE
"Bangkalan, Kab.",2021,21.045,TRUE
"Bangkalan, Kab.",2022,21.53,TRUE
"Bangkalan, Kab.",2023,22.015,TRUE
"Bangkalan, Kab.",2024,22.5,TRUE
"Bangli, Kab.",2015,5.73,FALSE
"Bangli, Kab.",2016,5.22,FALSE
"Bangli, Kab.",2017,5.23,FALSE
"Bangli, Kab.",2018,4.89,FALSE
"Bangli, Kab.",2019,4.44,FALSE
"Bangli, Kab.",2020,4.19,FALSE
"Bangli, Kab.",2021,3.84,TRUE
"Bangli, Kab.",2022,3.49,TRUE
"Bangli, Kab.",2023,3.14,TRUE
"Bangli, Kab.",2024,2.79,TRUE
"Banjar Baru, Kota",2015,4.9,FALSE
"Banjar Baru, Kota",2016,4.62,FALSE
"Banjar Baru, Kota",2017,4.68,FALSE
"Banjar Baru, Kota",2018,4.19,FALSE
"Banjar Baru, Kota",2019,4.3,FALSE
"Banjar Baru, Kota",2020,4.01,FALSE
"Banjar Baru, Kota",2021,3.92,TRUE
"Banjar Baru, Kota",2022,3.83,TRUE
"Banjar Baru, Kota",2023,3.74,TRUE
"Banjar Baru, Kota",2024,3.65,TRUE
"Banjar, Kab.",2015,3.26,FALSE
"Banjar, Kab.",2016,3.1,FALSE
"Banjar, Kab.",2017,2.96,FALSE
"Banjar, Kab.",2018,2.7,FALSE
"Banjar, Kab.",2019,2.72,FALSE
"Banjar, Kab.",2020,2.55,FALSE
"Banjar, Kab.",2021,2.475,TRUE
"Banjar, Kab.",2022,2.4,TRUE
"Banjar, Kab.",2023,2.325,TRUE
"Banjar, Kab.",2024,2.25,TRUE
"Banjar, Kota",2015,7.41,FALSE
"Banjar, Kota",2016,7.01,FALSE
"Banjar, Kota",2017,7.06,FALSE
"Banjar, Kota",2018,5.7,FALSE
"Banjar, Kota",2019,5.5,FALSE
"Banjar, Kota",2020,6.09,FALSE
"Banjar, Kota",2021,6.285,TRUE
"Banjar, Kota",2022,6.48,TRUE
"Banjar, Kota",2023,6.675,TRUE
"Banjar, Kota",2024,6.87,TRUE
"Banjarmasin, Kota",2015,4.44,FALSE
"Banjarmasin, Kota",2016,4.22,FALSE
"Banjarmasin, Kota",2017,4.19,FALSE
"Banjarmasin, Kota",2018,4.18,FALSE
"Banjarmasin, Kota",2019,4.2,FALSE
"Banjarmasin, Kota",2020,4.39,FALSE
"Banjarmasin, Kota",2021,4.495,TRUE
"Banjarmasin, Kota",2022,4.6,TRUE
"Banjarmasin, Kota",2023,4.705,TRUE
"Banjarmasin, Kota",2024,4.81,TRUE
"Banjarnegara, Kab.",2015,18.37,FALSE
"Banjarnegara, Kab.",2016,17.46,FALSE
"Banjarnegara, Kab.",2017,17.21,FALSE
"Banjarnegara, Kab.",2018,15.46,FALSE
"Banjarnegara, Kab.",2019,14.76,FALSE
"Banjarnegara, Kab.",2020,15.64,FALSE
"Banjarnegara, Kab.",2021,15.73,TRUE
"Banjarnegara, Kab.",2022,15.82,TRUE
"Banjarnegara, Kab.",2023,15.91,TRUE
"Banjarnegara, Kab.",2024,16,TRUE
